feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24075	-6.55855304103452	-0.737433504052697	-9.67546351282975	-2.98671421674023	-3.25964105251729	-2.83115798694932	-6.06254119004567	-13.7452045841203	-16.6657701166259	-8.90042481219622	-13.566234443075	-14.1511969437961
HEB24076	-6.43301211905531	-0.7220098186057	-10.6217992689015	-2.88050411674435	-4.00547913849881	-2.65743458491741	-5.5304610307552	-13.7938888544572	-14.7179400012239	-8.37672056772774	-12.7179400012239	-13.5939512839484
HEB24077	-6.30556995741977	-0.66563403823751	-10.6237332247607	-2.70089343385958	-4.25886338252834	-3.00238846319913	-5.46920831661211	-12.629314257024	-16.4706165110049	-8.71721402702804	-11.7157290088415	-13.7825605173197
HEB24078	-7.47279930007912	-0.788828783825722	-11.1295784798256	-2.3949895455589	-3.99969886224761	-2.83754897925918	-5.64890745499639	-14.9401501145667	-16.4807184959294	-8.64380742987382	-13.7702251131244	-14.9859538041798
HEB24079	-7.60365758821903	-0.5840625232698	-11.0161465529654	-2.16545609612738	-5.70456040229953	-4.1101749095998	-5.36454651249768	-14.8574488069464	-18.4423333911846	-8.41608548107039	-13.8574488069464	-19.6277950947162
HEB24080	-6.27579261641927	-0.780370997595444	-10.8959445456027	-2.45389699851158	-4.23835040951721	-2.75879526235429	-5.80717266239624	-17.2663290389815	-16.6508320477662	-8.28596783772824	-14.9138664536	-19.6277950947162
HEB24081	-4.76622592541788	-0.0600290703983125	-10.1827112666393	-10.1852534612018	-10.7400013488759	-12.6045379315808	-11.864852836061	-9.63723009464823	-15.8730267675067	-18.332458386144	-19.138473471621	-19.6277950947162
HEB24085	-1.31907721860635	-0.745816549530743	-10.3280635508362	-10.7632344696121	-11.0092957968422	-12.5494040617791	-12.5791514051732	-10.4916885639228	-16.5791514051732	-17.5791514051732	-19.138473471621	-19.6277950947162
HEB24092	-6.17557746628376	-0.0525515542644745	-9.19400541819603	-8.94207625881752	-7.0426369377692	-6.92983266306277	-9.05012689678048	-11.0334380009227	-16.5535109708999	-14.9685484701787	-18.138473471621	-19.6277950947162
HEB24096	-1.76015001934404	-0.521057667735565	-11.0414246478337	-11.4365075407369	-11.1585772748495	-13.3999816647118	-12.3295923368204	-7.2992442459511	-16.2073365867694	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24106	-1.48521940582567	-0.650999946107696	-8.27868344599498	-10.0251685071627	-10.4452415963389	-12.3698964714232	-11.5607188137588	-10.8771924785541	-15.7306438152011	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24108	-7.46568748082001	-0.0443206756483025	-10.0978858169249	-5.89618132024199	-8.29114994445455	-9.19070642238823	-10.3454072233874	-9.86439568670515	-15.3073391825539	-13.0678732478585	-17.1553360891088	-19.6277950947162
HEB24110	-3.24835392668733	-0.1673756417726	-9.72862750412212	-9.53467243331674	-9.9650676999442	-12.2600744955163	-11.87876785355	-11.7798528274773	-15.4544525406831	-18.1548922588242	-19.138473471621	-19.6277950947162
HEB24113	-2.47449910893806	-0.293380149942901	-9.68140729006527	-10.186110218871	-10.0392688305417	-12.186110218871	-11.6715370460412	-10.9371969212818	-15.2829717581236	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24116	-6.55201071990182	-0.351349660748149	-9.63312078116286	-4.85841450881185	-4.68745838156417	-3.66516363673401	-4.33699490503611	-13.1752984153872	-16.857122455361	-8.67804273877553	-13.5113476185192	-19.6277950947162
HEB24118	-5.78844431462978	-1.08814078238706	-8.71750713052278	-4.78996254159535	-2.05618091919893	-2.23495090240883	-5.81190121446566	-16.2663290389815	-18.4423333911846	-9.03270936222183	-12.8233855431328	-11.8233855431328
HEB24119	-7.96659996021816	-0.0404122586772719	-10.9345387509859	-6.5742825374394	-9.03152874102792	-11.584352396057	-6.69106830242233	-10.5394558580827	-17.4423333911846	-15.1204052962972	-19.138473471621	-19.6277950947162
HEB24122	-1.73951444646281	-0.521343489357564	-10.3620573051635	-10.7632812290737	-10.5197870096356	-12.5869012054941	-11.9494712848788	-9.5252621397017	-16.3942561275517	-17.2422530341066	-19.138473471621	-19.6277950947162
HEB24125	-1.62354148974923	-0.572615926305381	-9.93226567031737	-11.1307372113587	-10.7861539108111	-12.4423233620246	-12.2609935973101	-10.634968439967	-15.7902466654449	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24133	-1.51957095865221	-0.629034221241848	-9.4776881463912	-10.5409530398492	-10.6228300469036	-11.979395143463	-12.1973001738071	-9.46583356004542	-15.7208621298642	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24134	-1.13218756250318	-0.899557688979857	-8.14406761757888	-11.1913284102778	-10.8115319167825	-12.6231741972432	-12.8505846933463	-8.43170366551966	-15.886208603077	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24135	-1.15716876183584	-0.871049775321087	-9.48419574930057	-10.8804335414507	-10.3515050756438	-12.4398609500647	-11.9329009613448	-9.1943332625821	-15.3092768402545	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24136	-1.29677948108641	-0.783843026173854	-6.95375234572219	-10.004015542573	-10.6957133936867	-12.4402522075577	-11.8722627854402	-8.9355203197299	-16.4657872996648	-17.6881797210012	-19.138473471621	-19.6277950947162
HEB24137	-1.75472033976934	-0.5147083238085	-10.1321757891027	-10.4533769023466	-10.4533769023466	-12.167508862215	-12.0529490979521	-10.0723516291746	-15.3859323813485	-17.5014095987684	-17.0863720994896	-19.6277950947162
HEB24138	-1.27563317027343	-0.776872171527226	-10.2936870374713	-10.7659334604496	-10.8939016220527	-12.5561698489413	-11.9756260194872	-9.96680216910019	-16.0024260788309	-19.349136499311	-19.138473471621	-19.6277950947162
HEB24151	-6.95740369848297	-0.625742314519621	-10.889332247999	-5.57356832852149	-3.66354565554458	-2.22281233809999	-5.28668372841091	-13.4087064070926	-16.5786314085349	-8.30810246615422	-11.5786314085349	-19.6277950947162
HEB24152	-6.22534916541321	-0.456635630018021	-9.86539724074409	-3.83691590062625	-4.45552005753711	-3.78579784603515	-3.93841456754784	-12.7941551592629	-17.1970032495338	-8.50057064916433	-10.7876123133961	-13.058239179578
HEB24153	-5.91443746446487	-0.615911536240458	-10.2651129083097	-2.70406051532415	-3.86309042051015	-3.76347103422728	-5.03257428787953	-12.5899139448187	-16.2999716655213	-8.6532955692417	-9.95162838391917	-14.2088237774631
HEB24154	-4.25665376107806	-0.496657573943136	-6.62166081231379	-3.0697150245561	-5.75862507908947	-4.0372203651684	-5.14572669192013	-11.7894994865076	-14.3414846647825	-9.20384221329971	-15.136664872894	-19.6277950947162
HEB24155	-4.89170582284144	-0.295745644364835	-8.02880161639563	-5.18507297556922	-5.77374368911167	-3.86099580323581	-4.99790421529521	-11.8665847100886	-15.3584378064183	-9.24618448987261	-16.2589021328673	-19.6277950947162
HEB24156	-4.77627425877442	-0.287391388664198	-6.84564692883986	-4.46132485793869	-4.88436342034663	-4.32755766582275	-7.35313391252876	-13.1150761722262	-15.4370042671135	-13.0982023536618	-17.0650354897266	-19.6277950947162
HEB24169	-1.30525746090953	-0.757882623131014	-9.9281236435318	-10.3006496253187	-10.7197798792314	-12.5612339399196	-12.1012089858674	-9.75481189538618	-15.4911555041835	-18.349136499311	-19.138473471621	-19.6277950947162
HEB24170	-2.06650645970825	-0.40461371362902	-10.0503656707393	-10.6307949547192	-10.3550867188503	-12.2693568448244	-11.6651464595099	-8.40755413874439	-15.3177198663858	-17.0401858908569	-19.138473471621	-19.6277950947162
HEB24171	-1.35724226161197	-0.72414024943735	-9.72499308175534	-10.354556525008	-10.5972579287448	-12.4369091868855	-11.9753291016696	-9.61833573986238	-15.9526090251696	-17.145254103112	-19.138473471621	-19.6277950947162
HEB24172	-3.21566221949563	-0.181600330081854	-9.43593899933236	-8.45181120413914	-10.0531978361367	-12.0770445780911	-11.682765638979	-7.69721241008527	-15.1667992308494	-16.6758128783372	-19.138473471621	-19.6277950947162
HEB24173	-1.43411737219883	-0.675430520059225	-10.1930354659568	-10.875703236606	-10.5220662819913	-12.568581076494	-12.2327137906488	-9.56333808450597	-16.1676187624269	-17.0851566022349	-19.138473471621	-19.6277950947162
HEB24174	-2.1636552931399	-0.371710399617801	-10.3781640488581	-11.1392253186418	-10.9580151357616	-12.6835458348656	-12.346510847588	-9.05444489844473	-15.7090809269727	-18.1945077541429	-19.138473471621	-19.6277950947162
HEB24187	-5.18740171434827	-0.757000950841977	-7.70174624255515	-2.28100437296553	-4.10981820715868	-4.15155518839238	-4.24217981360401	-12.6128447532503	-16.6277950947162	-8.40983739685212	-12.8729075925528	-18.6277950947162
HEB24188	-4.95676399604168	-0.560987491632161	-9.48978457738576	-2.856206488401	-5.0790539277637	-3.77348466985182	-4.47609585203389	-11.5323809456818	-16.4742779911182	-8.82890397370127	-11.8003645674873	-19.6277950947162
HEB24189	-6.21534895501492	-0.761711753893696	-10.0480503977096	-3.85084919761744	-3.10131417597522	-2.44648498370269	-5.39141962765613	-12.0291591594151	-16.4247442960278	-8.89559265827517	-11.527042871874	-19.6277950947162
HEB24190	-5.20966403375327	-0.847494488852746	-8.99804713544518	-1.81091306902689	-5.59799491803477	-3.55442267154104	-5.60556999588774	-14.3773789166295	-12.5156582914553	-8.18500655127555	-11.6662393098312	-19.6277950947162
HEB24191	-6.93001166554111	-1.14041119590244	-10.5368284583268	-1.86095168636024	-3.18118922503175	-2.88099148827452	-6.11312333377278	-13.7929858574132	-15.857116194833	-9.3032251400448	-13.6871911933906	-16.2290849722199
