feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24089	-1.06474507488505	-0.956101065305445	-7.95638233477719	-11.0748631769122	-10.5553237511891	-12.2807674754601	-12.2010402829893	-10.0963429043226	-17.1552365933762	-17.1552365933762	-19.140617611756	-18.8736283468531
HEB24091	-2.88174000956434	-0.408416802607754	-5.34050294320671	-5.69410914736418	-5.09213851109119	-5.18680866961461	-6.9805094432698	-9.36129015345763	-16.1737883787912	-10.6899726015269	-14.58882587807	-17.1737883787912
HEB24093	-2.72019692524183	-0.243022870152311	-10.0845692472605	-11.0519645818286	-10.3759090223145	-12.1095156043908	-12.1782283544748	-10.5932658537536	-14.8353406409518	-17.5357803590929	-19.140617611756	-18.8736283468531
HEB24101	-6.12259637232075	-0.645174920730598	-10.4326266927013	-2.05283391199762	-5.63376015699198	-4.00125354958029	-5.69247454550285	-12.7008788078061	-17.9614063580293	-8.80405942266647	-12.4068175063517	-18.8736283468531
HEB24102	-6.56492773819025	-0.674209595446579	-11.4441025237457	-1.6516782357148	-7.19491004306553	-5.1838102147178	-6.93868791439894	-14.8274311632972	-16.5436381972966	-9.35381363841659	-13.7660306186331	-18.8736283468531
HEB24103	-6.46582056194767	-0.542368596119782	-10.3104204060292	-3.44344567811516	-4.17271993948745	-3.15193492136827	-4.67630301616893	-12.9119848740875	-16.0819098755298	-8.98783218985788	-13.4380536857551	-13.8724565099008
HEB24104	-6.75166931084523	-0.792705975858048	-11.1168124381607	-1.57686361201478	-5.00357649522732	-4.87741966429802	-6.5950212638286	-14.1122969570382	-14.8492625512044	-8.84738526396371	-19.140617611756	-18.8736283468531
HEB24105	-4.70566449426773	-0.0626528401611785	-10.0099134219203	-10.3118037635711	-10.0752671599144	-12.096535776668	-12.0132802730187	-9.96684470002838	-15.4328191645324	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24114	-8.03038073302254	-0.0504541019205174	-10.5836900324736	-7.0487387477425	-6.053121129028	-7.40129567906908	-10.8288025303101	-10.4373335021697	-15.8467244383074	-13.7092209145575	-19.140617611756	-18.8736283468531
HEB24115	-5.57344040988966	-0.263042043937206	-9.35401505069724	-5.08048741357297	-4.08478158966478	-4.59337498417639	-6.36742494985987	-14.2051962137195	-17.3426997374694	-9.13129810005093	-12.221684336508	-13.8572729102992
HEB24117	-7.9147412042687	-0.0324457651684807	-10.6186699084897	-7.83953486007953	-7.64244387710594	-7.71434327598427	-8.65134943032783	-10.348665947841	-16.9867397850218	-13.9163504571304	-19.140617611756	-18.8736283468531
HEB24127	-2.08405202700927	-0.398440234673235	-9.46842472837699	-9.5083788367663	-10.1046389288218	-12.1743479006332	-10.866775098723	-9.96837323873076	-15.3731277647477	-19.5616198473859	-17.832559383385	-18.8736283468531
HEB24128	-6.35215251968374	-0.403496375630672	-9.19481759759602	-2.96719990781337	-4.79901456055615	-4.62917797850778	-5.54586132441928	-11.0724309849171	-17.3012496754129	-9.07531926424189	-8.89951682589033	-18.8736283468531
HEB24129	-1.34427511875554	-0.734609245035563	-8.40000459720297	-11.1842759061475	-10.8423018690584	-12.4086486916122	-11.7781715316387	-10.3948428920872	-15.939163408311	-17.5241259090322	-19.140617611756	-18.8736283468531
HEB24130	-0.998788926113875	-1.01202563736653	-10.4584584568358	-10.7279914999684	-10.7214928626696	-12.4638719530222	-11.9877729280071	-9.48298077596991	-15.8187146703823	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24131	-0.888129045365845	-1.1301291559389	-10.499681533581	-10.4775425563117	-10.8659746990084	-12.4557381859934	-12.2416133806405	-11.0015622928076	-16.514631875047	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24132	-1.29532681549046	-0.761794575118704	-10.3173716167393	-10.7620799826944	-10.7214379981971	-12.6783692763052	-12.2215116013317	-11.0934067755841	-15.8913629996394	-17.3507946182767	-19.140617611756	-18.8736283468531
HEB24145	-4.07227495018704	-0.939406493573467	-9.6272120280418	-3.42054538803501	-3.2979368005513	-5.47975626504957	-2.33619809962246	-11.1573505040184	-15.9926878386019	-9.17622025607203	-12.7037101655158	-18.8736283468531
HEB24146	-5.80002070319136	-0.323524282588494	-10.4475079113051	-4.41317112526128	-5.51355765360972	-3.60766166848587	-5.12908260073655	-11.980750295579	-16.5064016003587	-8.90277525537252	-11.1535489322764	-18.8736283468531
HEB24147	-3.26942290882289	-0.461421286061803	-10.4018825294842	-3.38925217950593	-5.36557552549782	-5.42975713920388	-5.40620357266323	-10.1350180312594	-16.8082751374746	-9.6336431333548	-10.5862616248839	-18.8736283468531
HEB24148	-5.69022118958323	-0.206856051869132	-10.0251794886879	-4.420128932048	-6.51464433913434	-5.105078980301	-5.37050851934717	-11.0693736031882	-16.2565606932516	-9.42282724437069	-11.1480362364734	-18.8736283468531
HEB24149	-4.59182179143498	-0.372854633924977	-9.27065201596701	-4.11680830691286	-5.07608333673357	-3.88795014813592	-5.35497366645774	-10.2604425055052	-15.8936799484788	-7.84437591499656	-12.2118559085051	-18.8736283468531
HEB24150	-4.27213303956774	-0.389555989917412	-9.45283949609752	-4.31340532181208	-5.76512352768026	-3.85537370381049	-4.57599828036988	-10.6062052155988	-16.1548789501714	-8.56328468281294	-11.1583511420782	-15.948428072704
HEB24163	-0.947434835339422	-1.06638678791641	-10.1952976331401	-10.7737172879945	-10.7393145838624	-12.5172257280275	-12.1578976613349	-9.36686299296368	-15.8246542532197	-18.5616198473859	-19.140617611756	-18.8736283468531
HEB24164	-1.25990261932219	-0.789225930565914	-10.3213878036317	-11.0114712507	-10.7693773294885	-12.3112125823227	-12.3228472828061	-9.35682938223534	-16.1837516731404	-17.9492864195034	-19.140617611756	-18.8736283468531
HEB24165	-0.94961552677562	-1.0723120778294	-9.7231654273057	-10.7307786114156	-10.4580233585099	-12.3781376492746	-12.1500630817946	-8.05620955438723	-15.7905206951075	-16.8779835363578	-19.140617611756	-18.8736283468531
HEB24166	-3.80231626058078	-0.113139137740477	-10.1164295995075	-10.5258860665231	-10.4014386955986	-12.2884530668338	-12.0296247719702	-10.0269945159256	-15.4272171367897	-16.8057287600434	-19.140617611756	-18.8736283468531
HEB24167	-1.86766474768806	-0.470124361202484	-9.92887995574508	-10.2103516098355	-10.3095559720884	-12.4036595387158	-11.906159879245	-10.037165891395	-15.61665326205	-17.2687299586297	-19.140617611756	-18.8736283468531
HEB24168	-2.67083624989154	-0.254232471777678	-9.72020268625475	-10.3014130521148	-10.054077332639	-11.930125755629	-11.8622216911272	-9.88871949330425	-15.189687969556	-17.3051651869759	-19.140617611756	-18.8736283468531
HEB24181	-6.37095652603558	-0.428964567656199	-10.4638200643183	-5.25646173632871	-3.83551521195801	-3.32343632429961	-4.43457916592668	-13.2651360698945	-16.4350610713369	-9.06643974100145	-13.9148042600035	-15.3610604898931
HEB24182	-5.57941973857173	-1.12990431410779	-10.5049399634942	-3.4369685874584	-2.02970039597066	-2.52069628418964	-6.91903606303918	-13.0417464260607	-17.6711030461403	-9.72785565023871	-11.3401861680256	-18.8736283468531
HEB24183	-6.92904190453899	-0.37839120768139	-10.6601772493874	-3.43172482055362	-5.39331561525914	-4.16005984127494	-4.43695901518299	-13.5356104134743	-16.0995112986676	-8.36981667494348	-12.8221733548043	-14.2480338233777
HEB24184	-5.89465258150231	-0.355161687870704	-10.9200493585678	-3.05112731392108	-5.89989063823526	-5.17735983031411	-4.94146860540983	-12.0434317740731	-17.2982456731019	-8.70137827718886	-10.5360901704744	-18.8736283468531
HEB24185	-6.03213648607887	-0.594572169953041	-10.0482700181098	-4.19304587568481	-4.23510279162298	-2.6980725683419	-4.16492205280387	-12.3083123142485	-14.1077184831906	-8.2875395207754	-11.1751630041887	-15.2231957006105
HEB24186	-7.43320363226444	-1.47183216685797	-10.7503254094109	-5.96049901526449	-1.76269585732475	-1.65091344786529	-8.27268828377462	-14.3005224919713	-16.2453809377789	-10.9198506062113	-13.7218189817219	-15.0754559363366
