feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia	k__Archaea.p__Euryarchaeota.c__Halobacteria	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	k__Bacteria.p__.Thermi..c__Deinococci
HEB24149	-4.59664679163558	-0.612833042841225	-9.27034391727263	-4.11650020821847	-3.12881121821344	-8.50851616455901	-3.88764204944153	-5.24522402061878	-8.75177557140062	-5.38531300391869	-10.2601344068109	-9.06767100942794	-10.854818609015	-15.8933718497844	-7.84406781630217	-18.800262445393	-11.7022303624324	-12.2115478098107	-17.4082536324282	-12.7504138959424	-18.8736283468531
HEB24150	-4.2720619508099	-0.662537860701099	-9.45260676495251	-4.31317259066707	-2.948535861529	-9.39873152205918	-3.85514097266547	-5.95426628918349	-10.3433332834001	-4.5897455972983	-10.6059724844537	-9.46760707132509	-10.6395529374218	-16.1546462190264	-8.56305195166793	-17.3956543185302	-11.567373557618	-11.1581184109332	-13.8550859371675	-17.6249560541014	-15.948195341559
HEB24163	-0.947461201804003	-2.91531428356949	-10.1952976331401	-10.7737172879945	-1.53811814952614	-11.1750387941563	-12.5172257280275	-12.9567577892271	-10.7266221702592	-12.7802601338613	-9.36686299296368	-14.9371289824781	-15.1923860377202	-15.8246542532197	-18.5616198473859	-16.6871507294698	-13.6708489171407	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24164	-1.25992992189104	-1.31648997001709	-10.3213878036317	-11.0114712507	-2.50306250378024	-11.2655899651969	-12.3112125823227	-12.7634198741921	-10.4622503394715	-12.8365862867541	-9.35682938223534	-14.878897091612	-15.4132335192632	-16.1837516731404	-17.9492864195034	-16.9492864195034	-14.0617611487618	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24165	-0.949644445048515	-2.6234346656427	-9.7231654273057	-10.7307786114156	-1.68005657682869	-10.9266988213908	-12.3781376492746	-12.485666113579	-9.72569869405122	-12.9354690310186	-8.05620955438723	-15.3544215803008	-15.4185519177205	-15.7905206951075	-16.8779835363578	-16.5560554414704	-13.4022501053914	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24166	-3.80247439399264	-1.04887538133609	-10.1164295995075	-10.5258860665231	-1.18303629190799	-10.8261606599482	-12.2884530668338	-12.5884980438227	-10.3761127958417	-12.5277440127436	-10.0269945159256	-14.1969195173679	-15.2207662593223	-15.4272171367897	-16.8057287600434	-16.9577318534885	-13.8057287600434	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24167	-1.86771237993564	-1.92589631292945	-9.92887995574508	-10.2103516098355	-1.12863057392009	-10.6880675953422	-12.4036595387158	-12.7097626664415	-9.56433222691992	-12.3966047811819	-10.037165891395	-14.1453475431244	-14.906159879245	-15.61665326205	-17.2687299586297	-16.7541567857999	-13.7010454493404	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24168	-2.67090243485202	-2.27898759008668	-9.72020268625475	-10.3014130521148	-0.776067668155165	-10.4409790423216	-11.930125755629	-12.3982745913674	-4.36950900714078	-12.3202720793661	-9.88871949330425	-14.1087679741724	-14.7608446707521	-15.189687969556	-17.3051651869759	-17.0827727656395	-13.7403805681924	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24181	-6.371189327462	-0.521136093951379	-10.463627229205	-5.25626890121542	-4.52156543287932	-8.92623942714307	-3.32324348918632	-3.88048134367566	-10.7417481433266	-4.44812798347459	-13.2649432347813	-9.00331565016171	-13.2398522538184	-16.4348682362236	-9.06624690588817	-18.097833248946	-11.6799807340601	-13.9146114248902	-17.4082536324282	-17.6249560541014	-15.3608676547798
HEB24182	-5.57941973857173	-1.29237638122372	-10.5049399634942	-3.4369685874584	-4.39388830572844	-10.2777125886963	-2.52069628418964	-2.03480413354773	-10.7687279316542	-6.93639342591443	-13.0417464260607	-10.8881048372199	-14.0417464260607	-17.6711030461403	-9.72785565023871	-20.4957164736786	-13.3047808318945	-11.3401861680256	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24183	-6.92940593425265	-0.454530426806158	-10.6601057813871	-3.43165335255333	-4.73797277604587	-9.62370639970094	-4.15998837327466	-5.48701200385386	-11.1800582908756	-4.44604951838807	-13.535538945474	-9.2167967813055	-12.0877264101035	-16.0994398306673	-8.3697452069432	-18.6230017867244	-12.0082919426091	-12.822101886804	-17.4082536324282	-17.6249560541014	-14.2479623553774
HEB24184	-5.89486740551971	-0.477398355867566	-10.9199736778272	-3.05105163318047	-4.01970733431244	-9.79398299355461	-5.1772841495735	-6.03074485554785	-10.66088645651	-4.95112750894568	-12.0433560933325	-9.6078544914939	-11.6888233330132	-17.2981699923613	-8.70130259644824	-18.1726391102774	-12.5530304667494	-10.5360144897338	-15.3652841882198	-17.6249560541014	-18.8736283468531
HEB24185	-6.0327536818277	-0.792952794909885	-10.0482700181098	-4.19304587568481	-3.60980908694082	-6.94823522846993	-2.6980725683419	-4.47451364786351	-8.75287576583049	-4.17088238540179	-12.3083123142485	-10.1989794631897	-15.4862301064443	-14.1077184831906	-8.2875395207754	-17.2231957006105	-12.0870590126245	-11.1751630041887	-17.4082536324282	-17.6249560541014	-15.2231957006105
HEB24186	-7.43320363226444	-1.56326966087577	-10.7503254094109	-5.96049901526449	-5.54932624834146	-9.76237136061434	-1.65091344786529	-1.768973300689	-11.3873999426513	-8.29759791152347	-14.3005224919713	-11.2408795455439	-12.9306844121226	-16.2453809377789	-10.9198506062113	-20.4957164736786	-14.1410442779642	-13.7218189817219	-17.4082536324282	-17.6249560541014	-15.0754559363366
