Date,Time,Day,Mouse,Hormone,Antibiotics,Full_Group,Weight_g
9/13/24,8:15 AM,D2,603,PGH,Non_ABX,PGH_Non_ABX,20.4
9/14/24,10:30 AM,D3,603,PGH,Non_ABX,PGH_Non_ABX,19.8
9/15/24,11:00 AM,D4,603,PGH,Non_ABX,PGH_Non_ABX,20
9/16/24,8:30 AM,D5,603,PGH,Non_ABX,PGH_Non_ABX,20.6
9/17/24,12:15 PM,D6,603,PGH,Non_ABX,PGH_Non_ABX,20.5
9/18/24,10:30 AM,D7,603,PGH,Non_ABX,PGH_Non_ABX,21.4
9/19/24,1:30 PM,D8,603,PGH,Non_ABX,PGH_Non_ABX,21.1
9/10/24,4:00 PM,D-2,604,PGH,Non_ABX,PGH_Non_ABX,18.2
9/11/24,12:00 PM,D-1,604,PGH,Non_ABX,PGH_Non_ABX,20.5
9/12/24,9:30 AM,D0,604,PGH,Non_ABX,PGH_Non_ABX,19.6
9/13/24,8:15 AM,D2,604,PGH,Non_ABX,PGH_Non_ABX,19.4
9/14/24,10:30 AM,D3,604,PGH,Non_ABX,PGH_Non_ABX,18.9
9/15/24,11:00 AM,D4,604,PGH,Non_ABX,PGH_Non_ABX,19
9/16/24,8:30 AM,D5,604,PGH,Non_ABX,PGH_Non_ABX,18.9
9/17/24,4:15 PM,D6,604,PGH,Non_ABX,PGH_Non_ABX,19.7
9/18/24,8:00 AM,D7,604,PGH,Non_ABX,PGH_Non_ABX,19.7
9/19/24,1:30 PM,D8,604,PGH,Non_ABX,PGH_Non_ABX,19.7
9/10/24,4:00 PM,D-2,605,PGH,Non_ABX,PGH_Non_ABX,19.6
9/11/24,12:00 PM,D-1,605,PGH,Non_ABX,PGH_Non_ABX,19.5
9/12/24,9:30 AM,D0,605,PGH,Non_ABX,PGH_Non_ABX,19.5
9/13/24,8:15 AM,D2,605,PGH,Non_ABX,PGH_Non_ABX,19.7
9/14/24,10:30 AM,D3,605,PGH,Non_ABX,PGH_Non_ABX,20
9/15/24,11:00 AM,D4,605,PGH,Non_ABX,PGH_Non_ABX,19.9
9/16/24,8:30 AM,D5,605,PGH,Non_ABX,PGH_Non_ABX,20.3
9/17/24,4:15 PM,D6,605,PGH,Non_ABX,PGH_Non_ABX,19.6
9/18/24,10:30 AM,D7,605,PGH,Non_ABX,PGH_Non_ABX,20.7
9/19/24,1:30 PM,D8,605,PGH,Non_ABX,PGH_Non_ABX,20.4
9/10/24,4:00 PM,D-2,606,PGH,Non_ABX,PGH_Non_ABX,18.5
9/11/24,12:00 PM,D-1,606,PGH,Non_ABX,PGH_Non_ABX,18.4
9/12/24,9:30 AM,D0,606,PGH,Non_ABX,PGH_Non_ABX,19.4
9/13/24,8:15 AM,D2,606,PGH,Non_ABX,PGH_Non_ABX,19.8
9/14/24,10:30 AM,D3,606,PGH,Non_ABX,PGH_Non_ABX,19.5
9/15/24,11:00 AM,D4,606,PGH,Non_ABX,PGH_Non_ABX,19.9
9/16/24,8:30 AM,D5,606,PGH,Non_ABX,PGH_Non_ABX,19.2
9/17/24,12:15 PM,D6,606,PGH,Non_ABX,PGH_Non_ABX,20.3
9/18/24,8:00 AM,D7,606,PGH,Non_ABX,PGH_Non_ABX,20.2
