Date,Day,Mouse,Time_min,Blood_glucose,Notes,,,,,
9/18/24,D7,505,30,102,,,,,,
9/18/24,D7,505,60,156.5,,,,,,
9/18/24,D7,505,90,177.5,,,,,,
9/18/24,D7,505,120,204,,,,,,
9/18/24,D7,601,0,213,,,,,,
9/18/24,D7,601,15,108,,,,,,
9/18/24,D7,601,30,108,,,,,,
9/18/24,D7,601,60,149,,,,,,
9/18/24,D7,601,90,198,,,,,,
9/18/24,D7,601,120,206,,,,,,
9/18/24,D7,603,0,194,,,,,,
9/18/24,D7,603,15,120,,,,,,
9/18/24,D7,603,30,117.5,,,,,,
9/18/24,D7,603,60,159,,,,,,
9/18/24,D7,603,90,205.5,,,,,,
9/18/24,D7,603,120,178,,,,,,
9/18/24,D7,605,0,210.5,,,,,,
9/18/24,D7,605,15,99,,,,,,
9/18/24,D7,605,30,108.5,,,,,,
9/18/24,D7,605,60,165,,,,,,
9/18/24,D7,605,90,167,,,,,,
9/18/24,D7,605,120,185.5,,,,,,
9/18/24,D7,701,0,222,,,,,,
9/18/24,D7,701,15,100,,,,,,
9/18/24,D7,701,30,95.5,,,,,,
9/18/24,D7,701,60,152.5,,,,,,
9/18/24,D7,701,90,172,,,,,,
9/18/24,D7,701,120,190,,,,,,
9/18/24,D7,705,0,205.5,177.5,80,109.5,162,161.5,160.5
9/18/24,D7,705,15,129.5,,,,,,
9/18/24,D7,705,30,116,,,,,,
9/18/24,D7,705,60,136.5,,,,,,
9/18/24,D7,705,90,178,,,,,,
9/18/24,D7,705,120,212.5,,,,,,
9/18/24,D7,706,0,162.5,,,,,,
9/18/24,D7,706,15,94.5,,,,,,
9/18/24,D7,706,30,100,,,,,,
9/18/24,D7,706,60,136.5,,,,,,
9/18/24,D7,706,90,167,,,,,,
9/18/24,D7,706,120,160,,,,,,
9/21/24,D7,512,0,168,,,,,,
9/21/24,D7,512,15,114,,,,,,
9/21/24,D7,512,30,102.5,,,,,,
9/21/24,D7,512,60,120.5,,,,,,
9/21/24,D7,512,90,150,,,,,,
9/21/24,D7,512,120,151.5,,,,,,
9/21/24,D7,515,0,167,,,,,,
9/21/24,D7,515,15,136,,,,,,
9/21/24,D7,515,30,111,,,,,,
9/21/24,D7,515,60,142,,,,,,
9/21/24,D7,515,90,171.5,,,,,,
9/21/24,D7,515,120,177.5,,,,,,
9/21/24,D7,516,0,179,,,,,,
9/21/24,D7,516,15,98.5,,,,,,
9/21/24,D7,516,30,107,,,,,,
9/21/24,D7,516,60,152,,,,,,
9/21/24,D7,516,90,151.5,,,,,,
9/21/24,D7,516,120,175.5,,,,,,
9/21/24,D7,611,0,177.5,,,,,,
9/21/24,D7,611,15,80,,,,,,
9/21/24,D7,611,30,109.5,,,,,,
