Date,Day,Mouse,Time_min,Blood_glucose
9/17/24,D6,703,0,188.5
9/17/24,D6,703,15,193.5
9/17/24,D6,703,30,188
9/17/24,D6,703,60,190
9/17/24,D6,703,90,194
9/17/24,D6,703,120,189
9/17/24,D6,706,0,158
9/17/24,D6,706,15,222
9/17/24,D6,706,30,184
9/17/24,D6,706,60,188
9/17/24,D6,706,90,184.5
9/17/24,D6,706,120,191.5
9/20/24,D6,512,0,158.5
9/20/24,D6,512,15,199.5
9/20/24,D6,512,30,186
9/20/24,D6,512,60,191.5
9/20/24,D6,512,90,199.5
9/20/24,D6,512,120,197.5
9/20/24,D6,514,0,163.5
9/20/24,D6,514,15,222
9/20/24,D6,514,30,203
9/20/24,D6,514,60,202
9/20/24,D6,514,90,175
9/20/24,D6,514,120,168
9/20/24,D6,516,0,157.5
9/20/24,D6,516,15,217.5
9/20/24,D6,516,30,190.5
9/20/24,D6,516,60,185.5
9/20/24,D6,516,90,158.5
9/20/24,D6,516,120,182.5
9/20/24,D6,612,0,173
9/20/24,D6,612,15,239
9/20/24,D6,612,30,193.5
9/20/24,D6,612,60,191
9/20/24,D6,612,90,183.5
9/20/24,D6,612,120,179.5
9/20/24,D6,615,0,172.5
9/20/24,D6,615,15,252
9/20/24,D6,615,30,205
9/20/24,D6,615,60,183
9/20/24,D6,615,90,194.5
9/20/24,D6,615,120,192
9/20/24,D6,616,0,173.5
9/20/24,D6,616,15,254.5
9/20/24,D6,616,30,207.5
9/20/24,D6,616,60,173
9/20/24,D6,616,90,172.5
9/20/24,D6,616,120,166
9/20/24,D6,713,0,169.5
9/20/24,D6,713,15,199.5
9/20/24,D6,713,30,212.5
9/20/24,D6,713,60,200.5
9/20/24,D6,713,90,194
9/20/24,D6,713,120,175
9/20/24,D6,715,0,160.5
9/20/24,D6,715,15,226.5
9/20/24,D6,715,30,169
9/20/24,D6,715,60,162.5
9/20/24,D6,715,90,160.5
9/20/24,D6,715,120,154
9/20/24,D6,716,0,168
9/20/24,D6,716,15,195.5
9/20/24,D6,716,30,175.5
